subj_idx,RC,rt,MC,LT,JP,AD,Volume,response
3,B,0.772179791485087,5,Y,R,80,10,0
4,B,0.872965778325124,5,Y,L,80,90,1
4,B,0.871532614247371,5,W,R,80,90,1
4,B,1.17346783643279,4,W,R,34,67,1
4,B,0.691919298140419,4,W,R,34,67,1
4,B,0.592668329177286,5,Y,L,80,90,1
4,B,0.527573836493502,4,Y,L,34,67,1
4,B,0.655248324970671,4,W,R,34,67,1
4,B,0.569496439623435,5,W,R,80,90,1
4,B,0.686408677102918,1,Y,R,80,90,1
4,B,0.542060811826559,5,Y,L,80,90,1
4,B,0.719722681248641,4,Y,L,34,67,1
4,B,0.645673767388871,5,W,R,80,90,1
4,B,0.591881140521764,4,Y,L,34,67,1
4,B,0.553366583540992,2,Y,R,34,67,1
4,B,0.569933900189426,5,W,R,80,90,1
4,B,0.542304479764425,2,Y,R,34,67,1
4,B,0.639788180151299,2,W,L,34,67,1
4,B,0.541796713037002,5,W,R,80,90,1
4,B,0.739879518072485,5,Y,L,80,90,1
4,B,1.18596971426814,5,W,R,80,90,1
4,B,0.542522008232481,2,W,L,34,67,1
4,B,0.576292701979582,2,Y,R,34,67,1
4,B,0.553560676621601,4,W,R,34,67,1
4,B,0.469070696752169,5,Y,L,80,90,1
4,B,0.652872036775079,5,W,R,80,90,1
4,B,0.790628849562381,2,Y,R,34,67,1
4,B,0.586013280052612,5,Y,L,80,90,1
4,B,0.541881440975885,5,Y,L,80,90,1
4,B,0.56954751675039,5,W,R,80,90,1
4,B,0.560064897996199,1,Y,R,80,90,1
4,B,0.72649130186619,2,W,L,34,67,1
4,B,0.493313102785578,4,W,R,34,67,1
4,B,0.527030315776756,2,W,L,34,67,1
4,B,1.56041853198258,1,Y,R,80,90,1
4,B,0.496798966439201,2,Y,R,34,67,1
4,B,0.603030075413699,1,Y,R,80,90,1
4,B,0.703021963164247,1,W,L,80,90,1
4,B,0.612184298290231,4,Y,L,34,67,1
4,B,0.552654207854175,1,W,L,80,90,1
4,B,0.546111227953588,5,Y,L,80,90,1
4,B,0.591007421206086,5,Y,L,80,90,1
4,B,0.720588889222199,5,W,R,80,90,1
4,B,0.760676321245228,5,Y,L,80,90,1
4,B,0.546182735931325,5,W,R,80,90,1
4,B,0.478862782802025,1,W,L,80,90,1
4,B,0.494510110265765,5,W,R,80,90,1
5,B,1.37259892437584,4,Y,L,34,67,1
5,B,1.087430820539,4,Y,L,34,67,1
5,B,2.06237448547307,4,W,R,34,67,1
5,B,1.25338881711377,5,W,R,80,90,1
5,B,2.05524441907278,4,W,R,34,67,1
5,B,1.60881320794397,4,W,R,34,67,1
5,B,1.45841901270921,1,Y,R,80,90,1
5,B,1.3725718835442,2,W,L,34,67,1
5,B,0.920325691794687,4,W,R,34,67,1
5,B,0.587609890935369,4,W,R,34,67,1
5,B,0.812007331069935,2,W,L,34,67,1
5,B,0.723376798966456,1,Y,R,80,90,1
5,B,1.15736472072831,2,Y,R,34,67,1
5,B,1.67861911486341,5,W,R,80,90,1
5,B,0.91967551002017,5,W,R,80,90,1
5,B,0.692380494546796,5,W,R,80,90,1
5,B,0.922178289216845,4,Y,L,34,67,1
5,B,0.75351350539313,5,Y,L,80,90,1
5,B,0.724440104557971,1,W,L,80,90,1
5,B,0.942092059009155,2,W,L,34,67,1
5,B,0.719957936483979,5,Y,L,80,90,1
5,B,0.853075443920261,2,W,L,34,67,1
5,B,0.854923234083344,4,W,R,34,67,1
5,B,1.52057176336257,1,W,L,80,90,1
5,B,0.929668900039132,2,Y,R,34,67,1
5,B,0.702403629480386,5,W,R,80,90,1
5,B,0.738175645224374,4,Y,L,34,67,1
5,B,0.754180813027688,4,W,R,34,67,1
5,B,1.42354565393748,5,Y,L,80,90,1
5,B,0.669351620947737,5,W,R,80,90,1
5,B,0.669529789982789,1,Y,R,80,90,1
5,B,0.502796322447011,2,Y,R,34,67,1
5,B,0.654007751704967,4,W,R,34,67,1
5,B,1.09056695610388,1,W,L,80,90,1
5,B,0.703353964486269,4,Y,L,34,67,1
5,B,0.595926148484068,1,Y,R,80,90,1
5,B,0.653256317038768,2,Y,R,34,67,1
5,B,0.72731604723117,5,W,R,80,90,1
5,B,0.653522519003673,5,Y,L,80,90,1
5,B,0.728059670102084,5,W,R,80,90,1
5,B,2.05864224979723,5,Y,L,80,90,1
5,B,0.819588678905347,4,Y,L,34,67,1
6,B,1.6971051287444,1,W,L,80,90,1
6,B,0.953502088153101,4,Y,R,34,33,0
6,B,0.745961301565359,5,Y,L,80,90,1
6,B,1.61327825015775,2,W,L,34,67,1
6,B,0.952867830423941,2,Y,R,34,67,1
6,B,0.846474776913141,5,W,R,80,90,1
6,B,0.602742541237262,4,Y,L,34,67,1
6,B,0.889915572514496,2,Y,R,34,67,1
6,B,0.902902683051423,5,W,R,80,90,1
6,B,0.920554036595263,4,W,R,34,67,1
6,B,0.961836372923074,2,Y,R,34,67,1
6,B,1.69477420905571,4,W,L,34,33,0
6,B,0.907453655019083,5,W,R,80,90,1
6,B,0.602609740708431,2,Y,R,34,67,1
6,B,1.89373433885169,5,Y,L,80,90,1
6,B,1.00343628879614,4,W,R,34,67,1
6,B,0.725496199260874,4,W,R,34,67,1
6,B,0.819856984045828,1,W,L,80,90,1
6,B,0.936314034191696,4,Y,L,34,67,1
6,B,0.909723582609786,2,W,L,34,67,1
6,B,0.692290959348611,1,Y,R,80,90,1
6,B,2.36281134513115,2,Y,R,34,67,1
6,B,0.636547787158634,2,Y,R,34,67,1
6,B,1.1872177988763,4,Y,L,34,67,1
6,B,0.636280082925168,2,W,L,34,67,1
6,B,0.747186551693062,2,W,L,34,67,1
6,B,0.939771354745631,2,Y,R,34,67,1
6,B,0.827233122014377,5,Y,L,80,90,1
6,B,1.40347594868263,2,Y,R,34,67,1
6,B,1.07290448577351,1,W,L,80,90,1
6,B,1.35400024036289,5,Y,L,80,90,1
6,B,0.721458402187409,4,W,R,34,67,1
6,B,0.837229817023626,5,W,R,80,90,1
6,B,0.962028362827823,4,Y,L,34,67,1
6,B,1.43003905897899,2,W,L,34,67,1
6,B,1.44581558152822,1,W,L,80,90,1
6,B,0.986667367725204,1,W,L,80,90,1
6,B,0.556876183036593,5,W,R,80,90,1
6,B,1.79708740197702,4,Y,R,34,33,0
6,B,0.579149115164,5,Y,L,80,90,1
6,B,0.543422467926575,1,Y,R,80,90,1
7,B,0.810428747407968,1,Y,L,80,10,0
7,B,0.553073040290656,5,Y,L,80,90,1
7,B,1.0699086620798,1,W,R,80,10,0
7,B,0.472675840519514,1,Y,L,80,10,0
7,B,0.554998347504807,2,W,L,34,67,1
7,B,0.519239251269937,1,Y,L,80,10,0
7,B,0.419941411530999,1,Y,R,80,90,1
7,B,0.321767268575059,5,W,R,80,90,1
7,B,0.502754859838205,4,Y,R,34,33,0
7,B,0.409109154823454,1,Y,L,80,10,0
7,B,0.509952528317626,1,Y,L,80,10,0
7,B,0.377420304660518,4,W,L,34,33,0
7,B,0.521970675720695,2,Y,L,34,33,0
7,B,0.409452573386261,1,W,L,80,90,1
7,B,0.385796352492434,1,W,R,80,10,0
7,B,0.392862422257167,2,Y,L,34,33,0
7,B,0.569565844425597,1,W,R,80,10,0
7,B,0.569354625484266,2,Y,L,34,33,0
7,B,0.609420424841119,1,W,R,80,10,0
7,B,0.48014662139758,1,Y,L,80,10,0
7,B,0.52901331009798,1,W,L,80,90,1
7,B,0.458061172369526,2,W,R,34,33,0
7,B,0.407596971426756,1,W,R,80,10,0
7,B,0.395012769281493,2,W,R,34,33,0
7,B,0.455953790223248,5,Y,L,80,90,1
7,B,0.456601267914266,5,W,R,80,90,1
7,B,0.42068623621708,2,Y,R,34,67,1
7,B,0.619363338641961,5,W,L,80,10,0
7,B,1.03121623651714,5,Y,L,80,90,1
7,B,0.469349818225055,5,W,L,80,10,0
7,B,0.436099510259737,2,Y,R,34,67,1
7,B,0.419317669681732,2,W,R,34,33,0
7,B,0.386192350449164,1,W,R,80,10,0
7,B,0.468921972178578,2,W,R,34,33,0
7,B,0.495322236577522,1,W,R,80,10,0
7,B,0.486464861941386,2,Y,L,34,33,0
7,B,0.454367995673238,5,W,R,80,90,1
7,B,0.470261695159934,5,W,R,80,90,1
7,B,0.459994591833492,1,W,R,80,10,0
7,B,0.427202776191734,1,W,R,80,10,0
7,B,0.371196707027593,2,W,R,34,33,0
7,B,0.405298200282232,4,W,R,34,67,1
7,B,0.541637472583716,1,W,R,80,10,0
7,B,0.503116305621916,4,W,R,34,67,1
7,B,0.620714478862283,2,Y,L,34,33,0
7,B,0.419287323858953,2,Y,L,34,33,0
